id	filename	md5	size	state
2c9af931-de52-4067-ab91-02e6cbe772f9	2c9af931-de52-4067-ab91-02e6cbe772f9/6a0590ef-f7c0-4353-a0df-d215930a7d42.wxs.aliquot_ensemble_masked.maf.gz	9a357d9c982fdeae5bdecadbb4db9a4f	57027	validated
2d215d4d-6830-47ad-b513-e13e65c7657d	2d215d4d-6830-47ad-b513-e13e65c7657d/3fdfaed4-8f1f-4d47-9969-7025bd3ca37b.wxs.aliquot_ensemble_masked.maf.gz	ce455115393aca0155a97605c51713e8	45317	validated
2d2562b9-47da-4c6f-9aac-529f8c3c27e7	2d2562b9-47da-4c6f-9aac-529f8c3c27e7/2428442e-aa98-447f-9e90-a2a1fd1f8cf0.wxs.aliquot_ensemble_masked.maf.gz	7f61316894e57719c5cabc61ff1b9453	53646	validated
2daefb5f-23ca-47cc-95a8-3cea47374ea2	2daefb5f-23ca-47cc-95a8-3cea47374ea2/a9ecd394-4b9a-4ea4-8f79-7ff597161d85.wxs.aliquot_ensemble_masked.maf.gz	afde9da5be366dbe5ff1f9ccbd44dfa6	57888	validated
2db2838c-4497-40a4-852a-73795bc5985f	2db2838c-4497-40a4-852a-73795bc5985f/133c6585-d22c-4971-9ad5-863c9f1b57aa.wxs.aliquot_ensemble_masked.maf.gz	038b17ee9efd7c4c7598270ff8cc0d8f	43610	validated
2e851195-d8b6-45c5-8cbe-13c279945a96	2e851195-d8b6-45c5-8cbe-13c279945a96/f26a1912-6ba0-4b99-b1ff-673812d6fd0d.wxs.aliquot_ensemble_masked.maf.gz	a72c282cec3af2984aba13d8a3f4a65b	14931	validated
30317e2e-771c-4b62-b81b-9c013e3947c9	30317e2e-771c-4b62-b81b-9c013e3947c9/d10b95be-54f0-4f6e-bcc3-590efb8d7d64.wxs.aliquot_ensemble_masked.maf.gz	398f7d64ea88d2b5adff95a880c46e78	34705	validated
30bac9a3-b2ef-4062-9826-0e99e4c57bad	30bac9a3-b2ef-4062-9826-0e99e4c57bad/7b13cfe2-a18c-4533-8a3b-bf392894126b.wxs.aliquot_ensemble_masked.maf.gz	03637a6be1759ccfd1648f76e8e9dadb	93647	validated
31e0f058-bd2d-4968-916c-6a0752831d0e	31e0f058-bd2d-4968-916c-6a0752831d0e/45f3dfe2-a79e-49a9-8f5a-a3532dcf1d9d.wxs.aliquot_ensemble_masked.maf.gz	96912e7368b31fabac779411b766ec91	104912	validated
320c536b-48ff-4b31-a6d3-b41251bd51e3	320c536b-48ff-4b31-a6d3-b41251bd51e3/0012809b-e4e6-466a-96f0-24311e4d4120.wxs.aliquot_ensemble_masked.maf.gz	fe17d42a2834007c908be2bcf59aa930	270209	validated
3224c830-5ee7-42da-946b-35d91e5f0ac3	3224c830-5ee7-42da-946b-35d91e5f0ac3/6c3102dc-05fa-4c20-b0cc-d648cdabf1a6.wxs.aliquot_ensemble_masked.maf.gz	94321fc81f8ca38933f634a99d13f07e	236155	validated
328456e6-a419-4a37-80bc-60b8ae984d86	328456e6-a419-4a37-80bc-60b8ae984d86/e3586901-f0cd-472f-91ea-7e2ae2ec5c01.wxs.aliquot_ensemble_masked.maf.gz	ea6195b7a1cf3341c1a619b90d3423ea	68895	validated
32c24e17-d77e-414d-9ec8-8c3102c7406b	32c24e17-d77e-414d-9ec8-8c3102c7406b/cdcb48f8-d61e-4267-bf8b-fdc08fb18511.wxs.aliquot_ensemble_masked.maf.gz	fdbc2dc5dbe5b5b882d087fd17c59d00	278256	validated
32dcf6f3-fcb8-4fc3-b087-5c641d63f4f7	32dcf6f3-fcb8-4fc3-b087-5c641d63f4f7/7ace80ee-70d7-430a-9c32-edf13bb9cbe7.wxs.aliquot_ensemble_masked.maf.gz	29cb50a4742d9769ab185a46380339d3	37464	validated
33d3dd8d-6f24-490f-a6e8-bd4d3723d911	33d3dd8d-6f24-490f-a6e8-bd4d3723d911/f59aca99-c4ee-4e9e-bdb1-0d696728671b.wxs.aliquot_ensemble_masked.maf.gz	409ea30fe79f6b842c02728125abfbe8	365939	validated
